aweme_id,desc,share_url
6975196175498480901,Comment who you see in this video 🥰 #27videoschallenge  #LifeIsGood #beentheredonethat,https://m.tiktok.com/v/6975196175498480901.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6975196175498480901&source=h5_m
6973327803345325317,DROP YOUR GUESSES IN THE COMMENTS #buffering #robot #charging,https://m.tiktok.com/v/6973327803345325317.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6973327803345325317&source=h5_m
6972625751623421190,Want the full story? Tune into my IG #superspy #backyardigans #robot,https://m.tiktok.com/v/6972625751623421190.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6972625751623421190&source=h5_m
6970739217605610758,Saving the WORST for last #euphoria  #hbo  #whatiwouldfeed,https://m.tiktok.com/v/6970739217605610758.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6970739217605610758&source=h5_m
6970004530989681926,Can't wait to hear this in the club tbh 😫 #backyardigans  #tiktokart  #buffering,https://m.tiktok.com/v/6970004530989681926.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7ii6md388lmag&share_item_id=6970004530989681926&source=h5_m
6968145462545173765,It’s a FULL TIME JOB #runningqueen #robot #filter,https://m.tiktok.com/v/6968145462545173765.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6968145462545173765&source=h5_m
6967403832494001414,Am I a bad friend?? #TikTokPhotography #Good4U #CasualFashion,https://m.tiktok.com/v/6967403832494001414.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6967403832494001414&source=h5_m
6964819089600613637,TT, find my NY boo 😭 I think about him everyday fr #illneverforgetyou  #justvibing #robot,https://m.tiktok.com/v/6964819089600613637.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6964819089600613637&source=h5_m
6962255225478532357,Share this with your Summer Squad!!!! #makeyourmove #LetsPlay #horoscope,https://m.tiktok.com/v/6962255225478532357.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6962255225478532357&source=h5_m
6960352072323632390,Idk I’m just minding my own business #notthemaincharacter #robot #society,https://m.tiktok.com/v/6960352072323632390.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6960352072323632390&source=h5_m
6959613949797059845,I’m sorry I just don’t connect with the last one #Rating #DontBeSurprised #fyp,https://m.tiktok.com/v/6959613949797059845.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6959613949797059845&source=h5_m
6957743789574278405,I mean what did you expect #dontbesurprised #dejavu #Inverted,https://m.tiktok.com/v/6957743789574278405.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6957743789574278405&source=h5_m
6955157350781144325,#4 WTFFFFFF #10pictureschallenge #diyprojects #SpringVibes,https://m.tiktok.com/v/6955157350781144325.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6955157350781144325&source=h5_m
6951786221773360389,Honestly, I’m running 😭😭😭😭😭 #2018vs2021 #GlowUp #siblinggoals #LookBook,https://m.tiktok.com/v/6951786221773360389.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6951786221773360389&source=h5_m
6949918738628070661,This tastes like nothing. #HealthyLiving #naturescereal,https://m.tiktok.com/v/6949918738628070661.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7i73ld01121kg&share_item_id=6949918738628070661&source=h5_m
6943244250758778118,Us robots aren't all the SAME #daynnite #dramaticmoments #Lifestyle,https://m.tiktok.com/v/6943244250758778118.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6943244250758778118&source=h5_m
6940312635405503750,Cooking with a robot with no tastebuds #fetapasta #food #foodontiktok,https://m.tiktok.com/v/6940312635405503750.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6940312635405503750&source=h5_m
6937733694740368645,BUDGET CARPOOL KARAOKE #dramaticmoments #dontspeak #karpoolkaraoke,https://m.tiktok.com/v/6937733694740368645.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6937733694740368645&source=h5_m
6934762634659073285,Get you a bot who can do BOTH #robot #transformation #fypシ,https://m.tiktok.com/v/6934762634659073285.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6934762634659073285&source=h5_m
6934131947824368902,DOES ANYONE KNOW WHO SPENCER PRATT IS??? #waitforit #oopss #sorry,https://m.tiktok.com/v/6934131947824368902.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6934131947824368902&source=h5_m
6925988143564999942,How I feel in my comments asking, “what r u,” or “does she even have feelings?” #Robot #realtalk #fy,https://m.tiktok.com/v/6925988143564999942.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6925988143564999942&source=h5_m
6922943584350014725,Jan 2021 relationship statuses in the comment section. Go. #welcome2021 #fyp #couplethings,https://m.tiktok.com/v/6922943584350014725.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6922943584350014725&source=h5_m
6922145476993125638,IT’S CALLED HEALING SWEETIE, LOOK IT UP #driverslicense #couplethings #notaperfectperson,https://m.tiktok.com/v/6922145476993125638.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6922145476993125638&source=h5_m
6921148208345353477,TELL ME YOUR FAVES!! 💛 for photo 1, 💚 for photo 2, and 💜 for the cover #bts #mylife #pov,https://m.tiktok.com/v/6921148208345353477.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6921148208345353477&source=h5_m
6919609527050554630,K I’m late but the Renaissance Robot is HERE y’all. #renaissancechallenge #wee #isthisavailable,https://m.tiktok.com/v/6919609527050554630.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j7dggfagfjim&share_item_id=6919609527050554630&source=h5_m
6917399519638326534,I swear, SOMETHING’S beating in here. #GetRealMiquela,https://m.tiktok.com/v/6917399519638326534.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0m40l2ba8fk&share_item_id=6917399519638326534&source=h5_m
6916555535970012422,Did I do this right???? #modelfacechallenge #Wee #Inlove,https://m.tiktok.com/v/6916555535970012422.html?u_code=0&preview_pb=0&sharer_language=en&_d=e7j0m40l2ba8fk&share_item_id=6916555535970012422&source=h5_m
